Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,107.349998,108.500000,107.050003,107.650002,104.389679,4948142
2023-05-08,107.699997,108.099998,107.000000,107.449997,104.195732,4868763
2023-05-09,107.449997,108.250000,106.550003,106.949997,103.710876,11885359
2023-05-10,106.900002,109.099998,106.250000,109.000000,105.698792,7172451
2023-05-11,109.849998,110.199997,108.500000,109.349998,106.038193,7784358
2023-05-12,109.000000,109.349998,107.550003,108.050003,104.777565,5177796
2023-05-15,108.000000,111.949997,108.000000,111.750000,108.365501,10713993
2023-05-16,112.849998,113.949997,111.500000,111.699997,108.317017,18937352
2023-05-17,112.349998,112.500000,109.650002,110.000000,106.668503,5634267
2023-05-18,110.650002,110.849998,104.800003,106.199997,102.983589,24715468
2023-05-19,104.800003,105.699997,102.949997,104.849998,101.674477,15968522
2023-05-22,105.000000,106.900002,104.199997,106.349998,103.129051,11338813
2023-05-23,106.800003,108.500000,106.000000,107.500000,104.244225,8713781
2023-05-24,107.349998,108.199997,106.800003,107.699997,104.438164,6366074
2023-05-25,107.750000,108.199997,107.300003,107.800003,104.535141,4719281
2023-05-26,108.000000,109.000000,106.099998,106.349998,103.129051,6943806
2023-05-29,106.900002,106.900002,105.599998,106.250000,103.032082,8058796
2023-05-30,106.300003,106.550003,105.199997,105.949997,102.741165,7204247
2023-05-31,105.900002,105.949997,104.500000,104.800003,101.625999,10176487
2023-06-01,104.449997,105.849998,103.500000,105.349998,102.159332,9465271
2023-06-02,105.800003,106.150002,104.400002,104.599998,101.432053,9624201
2023-06-05,105.000000,105.199997,104.099998,104.449997,101.286591,5284220
2023-06-06,104.800003,105.199997,104.300003,104.699997,101.529022,5394343
2023-06-07,105.000000,106.000000,104.500000,105.599998,102.401764,8674853
2023-06-08,105.949997,106.000000,104.599998,104.750000,101.577507,7433762
2023-06-09,104.800003,106.000000,104.250000,104.900002,101.722969,5451500
2023-06-12,105.000000,105.949997,104.550003,105.199997,102.013878,7078498
2023-06-13,105.949997,107.150002,105.300003,107.050003,103.807854,11662296
2023-06-14,107.550003,108.000000,107.000000,107.199997,103.953308,6930665
2023-06-15,107.199997,107.449997,106.150002,107.150002,103.904823,5385018
2023-06-16,107.199997,108.000000,106.250000,107.500000,104.244225,8119111
2023-06-19,107.849998,108.400002,106.699997,108.000000,104.729080,4126281
2023-06-20,107.900002,108.699997,106.750000,108.250000,104.971504,11218628
2023-06-21,108.250000,108.400002,106.500000,106.699997,103.468445,13138208
2023-06-22,106.699997,107.000000,104.000000,104.449997,101.286591,16244574
2023-06-23,104.349998,105.400002,103.300003,105.050003,101.868423,7880417
2023-06-26,104.500000,105.199997,103.699997,104.800003,101.625999,9225360
2023-06-27,104.800003,105.050003,104.099998,104.300003,101.141144,9909567
2023-06-28,104.699997,104.849998,103.500000,103.800003,100.656281,14246542
2023-06-30,103.949997,105.300003,103.750000,105.050003,101.868423,16108372
2023-07-03,105.500000,106.599998,104.699997,106.449997,103.226021,22772148
2023-07-04,107.000000,107.150002,105.900002,106.550003,103.322998,9292916
2023-07-05,106.599998,107.550003,106.150002,107.400002,104.147255,10903523
2023-07-06,107.349998,111.400002,106.099998,110.800003,107.444283,29145409
2023-07-07,109.599998,112.099998,109.150002,110.699997,107.347305,15022279
2023-07-10,111.000000,111.349998,108.300003,108.949997,105.650307,8710335
2023-07-11,108.949997,109.599998,107.650002,109.300003,105.989708,10380385
2023-07-12,109.000000,111.150002,108.949997,110.599998,107.250336,9851130
2023-07-13,110.599998,111.199997,107.849998,108.099998,104.826050,8440163
2023-07-14,108.199997,110.599998,107.500000,110.000000,106.668503,10678733
2023-07-17,110.000000,110.250000,108.449997,108.599998,105.310905,7839246
2023-07-18,108.949997,109.150002,108.349998,108.900002,105.601822,6013243
2023-07-19,108.900002,110.900002,108.849998,109.500000,106.183647,9938960
2023-07-20,109.900002,111.650002,109.599998,110.449997,107.104874,10500380
2023-07-21,110.300003,112.300003,109.650002,111.500000,108.123077,11702513
2023-07-24,112.199997,114.000000,111.550003,112.050003,108.656425,13872167
2023-07-25,112.699997,117.000000,112.199997,116.400002,112.874672,23574611
2023-07-26,117.199997,118.050003,115.800003,116.050003,112.535278,17962594
2023-07-27,116.800003,117.800003,115.599998,116.599998,113.068611,13286670
2023-07-28,116.800003,118.250000,116.099998,117.500000,113.941360,21875385
2023-07-31,120.349998,122.949997,118.000000,119.099998,115.492897,64986613
2023-08-01,119.099998,122.349998,117.199997,120.349998,116.705040,32978003
2023-08-02,120.400002,120.699997,115.099998,116.349998,112.826187,27870281
2023-08-03,116.349998,116.849998,114.750000,115.550003,112.050423,13891020
2023-08-04,116.449997,116.900002,114.199997,115.300003,111.807991,11230403
2023-08-07,116.000000,116.550003,114.099998,114.250000,110.789787,11480767
2023-08-08,114.300003,116.699997,114.099998,116.400002,112.874672,16636302
2023-08-09,116.949997,118.150002,115.599998,117.900002,114.329247,11556651
